Number,FieldState,MotifSum,Entropy,HilbertMag,CompositeScore,EnhancedCompositeScore,RhythmicCompositeScore,UnionPrediction,InferredFieldState,UMAP_X,UMAP_Y,PrimeStatus,PrimeType,Type,BoundaryTransitionIndex,TransitionFlag
534403,Mid,36,0.7777777777777778,32.0,0.6196869940652603,0.7663121770347459,0.8129620246376825,1,Unknown,6.979377,8.288745,True Prime,General,,-2.268268615389824,False
432413,Mid,32,0.25,20.0,0.5749506054278808,0.7664379401549677,0.8127996380489243,1,Unknown,8.147883,4.520061,True Prime,General,,-2.258438206005687,False
448067,Low,16,0.25,10.0,0.5978450015773786,0.7666293823549379,0.8132157888938363,1,Unknown,5.795923,3.4595113,True Prime,General,,-2.243473920801983,False
271351,Mid,24,0.5,18.0,0.6166152552925959,0.7671293178084371,0.8129149243781975,1,Unknown,5.668583,4.8883357,True Prime,General,,-2.2043959290594777,False
339679,Low,34,0.6470588235294118,28.0,0.6110158764556529,0.7673502918521647,0.813682906324559,1,Unknown,3.6350403,2.0158162,True Prime,General,,-2.1871232555660125,False
301949,Low,36,0.6666666666666666,30.0,0.6252058895600816,0.7674905706281606,0.8139924565025285,1,Unknown,1.0246801,2.9732213,True Prime,General,,-2.176158214355898,False
546523,Mid,38,0.2631578947368421,24.0,0.5719196124019906,0.7676622462001191,0.8140420799699815,1,Unknown,5.067695,2.8193448,True Prime,General,,-2.1627390088636105,False
498977,Low,16,0.5,12.0,0.6085457158469889,0.7677059929716259,0.8138140803022511,1,Unknown,6.9693813,1.4768325,True Prime,General,,-2.159319495476958,False
238081,Mid,14,0.7142857142857143,12.0,0.6289086028024663,0.7677567127508348,0.814008043043495,1,Unknown,3.479964,3.816057,True Prime,General,,-2.155354929453016,False
397519,Low,24,0.8333333333333334,22.0,0.572978231511677,0.7680984865902422,0.8143910722820797,1,Unknown,1.0510105,3.8409317,True Prime,General,,-2.1286398101697452,False
271393,Low,42,0.238095238095238,26.0,0.5854351234770228,0.7682181432776273,0.8144867976319877,1,Unknown,4.1389556,8.692965,True Prime,General,,-2.119286716667687,False
275321,Low,14,0.7142857142857143,12.0,0.5669711533902985,0.7685211602485398,0.8146196010416591,1,Unknown,7.946098,6.0413895,True Prime,General,,-2.095601069642099,False
335917,Low,44,0.0909090909090909,24.0,0.5946719057582701,0.7686038371472266,0.8131117947906503,1,Unknown,2.3684719,4.277185,True Prime,General,,-2.089138541046527,False
271277,Mid,6,0.3333333333333333,4.0,0.5492750883793328,0.7686961859923896,0.8127717088672922,1,Unknown,-0.31374434,6.4251547,True Prime,General,,-2.081919994365243,False
335743,Low,18,0.5555555555555556,14.0,0.5799704248292189,0.7687526806857706,0.8146514304735671,1,Unknown,4.4772005,4.2460847,True Prime,General,,-2.077504025971753,False
302143,Low,44,0.0909090909090909,24.0,0.5950791161049295,0.7688597057688814,0.8129025246884861,1,Unknown,0.0889805,0.9749888,True Prime,General,,-2.069138295386392,False
208333,Mid,18,0.5555555555555556,14.0,0.5990908343908292,0.7688621342353563,0.8147389933132355,1,Unknown,1.264305,4.519744,True Prime,General,,-2.0689484716957747,False
467869,High,12,0.6666666666666666,10.0,0.5979854243791818,0.7690069936222608,0.8146577844346361,1,Unknown,-0.11170208,1.8429762,True Prime,General,,-2.057625382113599,False
282773,High,28,0.7142857142857143,24.0,0.6124301542704581,0.7690783847115088,0.8149119936941576,1,Unknown,-1.003823,2.1341982,True Prime,General,,-2.0520450209357777,False
495067,Low,28,0.7142857142857143,24.0,0.6061734175943623,0.7691152489139986,0.8145036692626464,1,Unknown,6.6725416,8.787884,True Prime,General,,-2.0491634909494394,False
463921,Mid,30,0.8666666666666667,28.0,0.6039437925127404,0.7691642138928149,0.8131461311876328,1,Unknown,2.774118,8.406081,True Prime,General,,-2.0453360907831573,False
215653,Mid,42,0.7142857142857143,36.0,0.6382234521349435,0.7691835231607778,0.8153248868761068,1,Unknown,7.006869,1.7888566,True Prime,General,,-2.0438267611112435,False
267713,High,40,0.7,34.0,0.712942455653367,0.7693532328228961,0.8153948692682029,1,Unknown,8.920074,4.0950456,True Prime,General,,-2.0305612230733483,False
424667,Mid,18,0.3333333333333333,12.0,0.553101484962508,0.7694216068164464,0.8137660105260259,1,Unknown,0.5489234,2.0920866,True Prime,General,,-2.025216696421638,False
215771,Mid,30,0.7333333333333333,26.0,0.6147159979954271,0.7696752450516702,0.8139689211142052,1,Unknown,6.9641185,8.384053,True Prime,General,,-2.0053907913127222,False
219277,Mid,30,0.7333333333333333,26.0,0.608723178997043,0.7698779406309422,0.8127606686176168,1,Unknown,-0.5703321,5.2320747,True Prime,General,,-1.9895468736277626,False
514933,Mid,36,0.6666666666666666,30.0,0.6228444684866306,0.7699750372610302,0.8137947898822069,1,Unknown,3.9129124,9.091007,True Prime,General,,-1.9819572112378505,False
237929,Mid,48,0.25,30.0,0.633842419381462,0.7700174138305489,0.8133718213517549,1,Unknown,1.7807887,3.3575056,True Prime,General,,-1.9786448011614386,False
343517,Low,40,0.4,28.0,0.6491661557356031,0.7700306237037421,0.8160244989629937,1,Unknown,6.8598657,4.4658613,True Prime,General,,-1.977612237233535,False
432559,Low,12,0.6666666666666666,10.0,0.5682309839180636,0.7701522069135093,0.8143504906036769,1,Unknown,-0.52125216,2.65143,True Prime,General,,-1.9681085550400546,False
451837,Low,28,0.5714285714285714,22.0,0.5736059285802049,0.770171773639726,0.8161374189117809,1,Unknown,5.4054823,4.919972,True Prime,General,,-1.9665791008671742,False
362723,Low,24,0.5,18.0,0.5775544964782241,0.7703634595990235,0.8162907676792188,1,Unknown,7.934929,3.6505058,True Prime,General,,-1.951595761953812,False
393517,High,34,0.7647058823529411,30.0,0.6184971345648559,0.7703722269683457,0.8159470674996266,1,Unknown,0.73633,5.1845045,True Prime,General,,-1.9509104511130253,False
234287,Mid,12,0.0,6.0,0.5632750450294062,0.7703959204074691,0.8131750524388385,1,Unknown,4.4027815,1.0624584,True Prime,General,,-1.9490584279929746,False
491279,Mid,24,0.5,18.0,0.5714265408835667,0.7704812427616361,0.8161876670521362,1,Unknown,5.390325,4.746973,True Prime,General,,-1.9423891145280996,False
351257,High,30,0.8666666666666667,28.0,0.6376601449402879,0.7705084485300985,0.8132650749369428,1,Unknown,7.4283743,5.3780255,True Prime,General,,-1.9402625464123955,False
215801,Mid,30,0.7333333333333333,26.0,0.5845238662261506,0.7705454371587874,0.8137942400143461,1,Unknown,7.8035045,3.4802516,True Prime,General,,-1.9373712905185465,False
530401,Mid,36,0.5555555555555556,28.0,0.6274228217344409,0.7705624457522121,0.8164280249492541,1,Unknown,6.1720448,9.594966,True Prime,General,,-1.9360417955432465,False
374447,High,18,0.5555555555555556,14.0,0.5512776481011865,0.7705649851702419,0.8164300564836781,1,Unknown,7.608855,3.38366,True Prime,General,,-1.9358432992051642,False
290539,Low,24,0.5,18.0,0.5842534543478223,0.7706044629118763,0.8138414606168175,1,Unknown,7.299194,2.0296764,True Prime,General,,-1.9327574791241766,False
428741,Mid,28,0.2857142857142857,18.0,0.6132115980918189,0.7706377771676378,0.816422504743996,1,Unknown,1.5526958,3.154417,True Prime,General,,-1.9301534345371352,False
578327,Low,36,0.4444444444444444,26.0,0.618741980521622,0.770755012451864,0.8165162929713771,1,Unknown,4.340097,3.3375013,True Prime,General,,-1.9209896126140174,False
522413,Mid,30,0.7333333333333333,26.0,0.5848835889532608,0.7707714671678937,0.8148458988071843,1,Unknown,2.957528,2.0323055,True Prime,General,,-1.9197034120602567,False
420853,Low,6,0.3333333333333333,4.0,0.6158377316356878,0.7708379563339591,0.8163196509921176,1,Unknown,7.7727995,7.790844,True Prime,General,,-1.9145062149735412,False
378193,Mid,44,0.3636363636363636,30.000000000000004,0.6378557091429972,0.7708602680654608,0.8163375003773189,1,Unknown,7.724709,4.15055,True Prime,General,,-1.912762194513937,False
